Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E08000012 Liverpool,2.53145,2.32485,2.41695,2.48966,2.65443,2.74637,2.94462,4.00073,4.37404,4.87535,5.22761,4.91569,4.34579,4.29357,4.23663,4.11955
E08000012 Merseyside,2.53145,2.32485,2.41695,2.48966,2.65443,2.74637,2.94462,4.00073,4.37404,4.87535,5.22761,4.91569,4.34579,4.29357,4.23663,4.11955
E08000011 Knowsley,2.50655,2.72365,2.76488,2.92445,2.72661,3.20732,3.35168,4.35673,5.36404,5.54162,5.12223,5.2053,4.12238,4.48848,4.3529,4.1502
E08000010 Wigan,2.82726,3.00781,2.83236,2.79865,2.8991,2.95073,3.51526,4.61933,4.83838,5.31715,5.27126,5.24215,4.75164,4.83598,4.73376,4.99679
E08000009 Trafford,3.74569,3.70232,3.70437,4.20284,4.41677,5.21118,5.92778,6.64705,7.18369,7.22058,7.9009,7.34366,6.53569,6.84327,7.24543,6.71325
E08000008 Tameside,2.83669,2.83226,2.7794,2.81892,2.98322,2.93427,3.74575,4.5848,5.34033,5.76699,5.60284,5.71656,4.68012,4.91617,4.92079,4.70568
E08000007 Stockport,3.50542,3.45442,3.61498,3.88291,3.97184,4.51786,5.79033,6.38992,6.17008,6.45144,7.00323,6.55272,5.97908,6.51138,6.07384,6.03977
E08000006 Salford,2.4956,2.57,2.41996,2.49223,2.45842,2.47321,3.26276,4.26918,4.93815,5.20295,5.54584,5.25908,4.64907,4.53101,4.39949,4.65267
E08000005 Rochdale,2.58942,2.54684,2.74965,2.62534,3.07966,2.99541,3.2873,4.12669,4.54265,4.92268,5.63117,5.21818,4.70768,4.64267,4.59261,4.65109
E08000004 Oldham,2.72617,2.83825,2.67152,2.59403,2.59067,2.78768,3.10086,3.89204,4.45081,5.0249,5.80916,5.32458,4.82468,4.67572,4.73713,4.87942
E08000003 Manchester,2.27101,2.46366,2.33486,2.51069,2.62588,3.04092,3.24037,3.99686,4.74314,5.34768,5.29141,5.20936,4.4717,4.60896,4.98544,4.70652
E08000002 Bury,2.98416,2.86983,2.98976,3.07017,3.1388,3.38264,4.20379,5.00135,5.99887,6.07424,5.89393,5.70307,5.35095,5.37902,4.90377,5.26148
E08000001 Bolton,2.79392,2.86841,2.80686,2.80189,2.92688,3.17456,3.32544,4.4503,5.02809,5.51435,6.00625,5.67067,4.92853,4.93216,4.63879,4.67103
E07000239 Wyre Forest,3.90487,3.56514,4.00595,4.04752,4.63094,5.38277,6.90363,7.13268,7.63096,7.10753,6.96075,7.18267,6.51236,7.01157,7.35376,7.94351
E07000238 Wychavon,4.65008,4.75077,4.59358,5.49403,6.35578,6.91252,8.7545,8.63567,9.43339,9.26281,10.3525,9.49936,7.86923,8.57806,8.47632,8.37472
E07000237 Worcester,3.52533,3.67429,3.97054,4.11904,4.36899,5.10994,6.29412,6.63552,6.94075,7.07853,7.73798,7.27448,6.66375,6.35573,6.41628,6.77279
E07000236 Redditch,3.45474,3.75716,4.05062,4.2539,4.63579,5.0757,6.10425,7.46333,6.72812,7.30468,7.59729,6.74331,6.21286,5.97321,5.79424,6.04895
E07000235 Malvern Hills,5.59296,5.40585,4.78162,5.77646,5.90135,6.99465,8.06945,9.50796,9.60178,8.96848,10.4701,8.8302,7.71358,9.67125,8.66213,8.38118
E07000234 Bromsgrove,4.54855,4.83852,5.25722,5.85296,6.04185,8.84536,8.29536,8.66658,9.46371,9.50246,9.93927,10.1931,8.03749,9.03414,9.67286,8.54053
E07000229 Worthing,3.33834,3.91718,3.84708,4.79689,4.56776,6.12818,7.37114,7.30072,7.95554,8.47179,8.97985,8.5265,7.04746,8.34406,7.82653,8.00764
E07000228 Mid Sussex,4.16171,4.50351,5.1515,6.84463,6.24702,7.19208,8.73437,9.30558,9.56586,10.0173,10.1696,9.97975,8.86719,9.35796,9.40211,9.42665
E07000227 Horsham,4.77079,4.79981,6.22528,7.11871,6.79854,7.27281,8.62356,9.46308,9.5293,9.88549,10.3551,10.3909,9.37028,10.106,9.73011,10.1921
E07000226 Crawley,3.54006,4.09139,3.92397,4.56648,4.98742,5.84226,6.21734,7.00075,7.04534,7.00035,8.03012,7.52293,6.0739,6.17041,6.07316,6.29914
E07000225 Chichester,4.96121,5.7891,6.13082,7.51107,7.64618,8.11852,10.4263,10.5645,11.6984,11.0926,12.3228,11.3644,10.2178,10.5325,11.5651,9.62367
E07000224 Arun,4.05301,4.96466,4.99955,5.6894,6.79391,7.47486,8.43672,9.42716,10.3739,9.99911,9.94687,9.98633,8.79237,10.2043,9.63305,9.42614
E07000223 Adur,3.54469,3.70362,3.68113,4.54599,6.00269,5.66016,7.59658,7.69396,7.45816,9.145,7.39061,9.41545,8.33673,9.9457,8.26182,9.25822
E07000222 Warwick,4.12019,4.54875,5.00816,5.71671,5.76387,6.37198,7.69628,7.87918,8.18417,7.42249,7.53568,7.68247,6.90999,8.30851,7.33641,7.48286
E07000221 Stratford-on-Avon,5.00876,5.13746,5.66054,6.17722,6.4949,7.92074,8.42886,8.12958,9.31117,9.58694,8.8186,8.92008,7.427,9.05461,9.27273,8.90859
E07000220 Rugby,3.18547,3.17563,3.21878,3.51927,3.72666,4.99459,5.40855,5.96743,6.54413,6.95857,6.51216,5.98437,4.87392,5.57248,5.63899,5.53984
